change of median rent,College00_16,mdfami00_16,Geo_ID,NYC Neighborhood Tabulation Area name
0.694520548,1.119,0.479130999,36005000200,Soundview-Castle Hill-Clason Point-Harding Park
1.161741835,0.988,0.978668422,36005000400,Soundview-Castle Hill-Clason Point-Harding Park
0.693548387,-0.119,0.219140314,36005001600,Soundview-Castle Hill-Clason Point-Harding Park
1.459869848,4.324,0.648008111,36005001900,Mott Haven-Port Morris
1.293233083,0.766,0.055600691,36005002000,Soundview-Castle Hill-Clason Point-Harding Park
0.820960699,-0.169,0.0330415,36005002300,Mott Haven-Port Morris
1.035294118,1.879,0.592325374,36005002500,Mott Haven-Port Morris
0.693181818,-0.01,0.74038388,36005002701,Mott Haven-Port Morris
1.90060241,1.249,0.943447932,36005002702,Mott Haven-Port Morris
0.598976109,0.418,0.329301914,36005002800,Soundview-Castle Hill-Clason Point-Harding Park
0.663961039,-0.193,0.876573242,36005003100,Mott Haven-Port Morris
1.259927798,1.325,0.801050788,36005003300,Mott Haven-Port Morris
1.110311751,0.263,0.581651923,36005003500,Mott Haven-Port Morris
0.281293952,0.207,-0.371566893,36005003800,Soundview-Castle Hill-Clason Point-Harding Park
1.742930591,1.753,0.577718856,36005003900,Mott Haven-Port Morris
0.661949686,-0.286,0.787945159,36005004001,Soundview-Bruckner
1,1.223,0.226266667,36005004100,Mott Haven-Port Morris
0.653144016,-0.012,-0.061003421,36005004200,Soundview-Castle Hill-Clason Point-Harding Park
1.141689373,1.003,0.031289852,36005004300,Mott Haven-Port Morris
1.008368201,0.421,0.829778335,36005004400,Soundview-Bruckner
1.238227147,0.817,0.555555556,36005004600,Soundview-Castle Hill-Clason Point-Harding Park
0.855932203,0.458,1.014478093,36005004800,Soundview-Bruckner
1.092382496,0.467,0.697726621,36005005001,Soundview-Bruckner
0.893030794,-0.034,0.498137358,36005005002,Soundview-Bruckner
1.309734513,1.999,0.598114188,36005005100,Mott Haven-Port Morris
1.149837134,1.061,1.196836555,36005005200,Soundview-Bruckner
0.65095986,0.308,-0.337534335,36005005300,University Heights-Morris Heights
0.893081761,0.419,0.290322581,36005005400,West Farms-Bronx River
0.665615142,-0.347,0.120403858,36005005600,West Farms-Bronx River
0.774011299,0.328,-0.026041667,36005005902,East Concourse-Concourse Village
0.901360544,2.831,0.452941821,36005006000,Crotona Park East
0.96692607,1.165,0.649273352,36005006100,East Concourse-Concourse Village
0.714634146,-0.003,0.44033848,36005006200,West Farms-Bronx River
0.784946237,2.64,0.295774648,36005006300,West Concourse
0.623481781,-0.086,0.03456338,36005006400,West Farms-Bronx River
0.921875,-0.106,0.362506888,36005006500,Melrose South-Mott Haven North
0.966101695,2.176,-0.031137671,36005006700,Melrose South-Mott Haven North
0.598958333,0.069,0.251664608,36005006800,Soundview-Bruckner
1.959322034,2.002,1.66221936,36005006900,Melrose South-Mott Haven North
0.81920904,-0.205,-0.051423848,36005007000,Soundview-Bruckner
1.667546174,1.27,0.089915811,36005007100,Melrose South-Mott Haven North
0.676945668,0.465,0.006868579,36005007200,Soundview-Bruckner
0.951417004,0.055,0.179668442,36005007300,Melrose South-Mott Haven North
0.93768997,-0.088,0.142948354,36005007400,Soundview-Castle Hill-Clason Point-Harding Park
0.762222222,0.882,0.494104026,36005007500,Melrose South-Mott Haven North
0.792397661,-0.375,0.104378443,36005007600,West Farms-Bronx River
1.0625,2.501,0.746162468,36005007700,Melrose South-Mott Haven North
0.824267782,0.159,-0.109274634,36005007800,Westchester-Unionport
0.825974026,0.404,0.627307094,36005007900,Melrose South-Mott Haven North
0.763888889,1.677,0.189895145,36005008300,Longwood
0.647256439,0.448,1.014866528,36005008400,Soundview-Castle Hill-Clason Point-Harding Park
1.501246883,0.709,0.681137725,36005008500,Longwood
0.36,1.322,0.513777877,36005008600,Soundview-Castle Hill-Clason Point-Harding Park
0.994174757,0.293,0.51290207,36005008700,Longwood
1.165501166,0.25,0.670875092,36005008900,Hunts Point
0.564285714,0.583,0.709373905,36005009000,Soundview-Castle Hill-Clason Point-Harding Park
0.817663818,0.146,0.238213522,36005009200,Westchester-Unionport
1.166666667,1.293,0.580900121,36005009300,Hunts Point
0.838554217,0.285,0.155691554,36005009600,Westchester-Unionport
1.053333333,0.771,0.471162689,36005009800,Westchester-Unionport
1.012096774,2.91,0.886582562,36005011502,Hunts Point
0.826377295,2.63,0.85675616,36005011700,Hunts Point
1.214917826,0.206,0.536773631,36005011800,Schuylerville-Throgs Neck-Edgewater Park
1.278450363,0.466,0.33615,36005011900,Hunts Point
0.8057041,0.052,0.528110738,36005012101,Morrisania-Melrose
0.2890625,2.309,0.129636927,36005012102,Hunts Point
0.821428571,1.302,0.518724627,36005012300,Crotona Park East
1.009225092,-0.035,-0.201840458,36005012500,Morrisania-Melrose
1.112391931,1.142,0.765912073,36005012701,Hunts Point
1.638655462,0.327,0.732038429,36005012901,Longwood
0.887714663,0.639,0.470416391,36005013000,Schuylerville-Throgs Neck-Edgewater Park
0.904862579,0.293,1.301652893,36005013100,Longwood
0.608108108,1.12,0.65632346,36005013200,Schuylerville-Throgs Neck-Edgewater Park
1.129337539,0.653,0.652205431,36005013300,Morrisania-Melrose
0.772727273,1.033,1.30678804,36005013500,Morrisania-Melrose
0.627877238,0.241,0.768177269,36005013800,Schuylerville-Throgs Neck-Edgewater Park
1.073359073,3.226,1.750663751,36005014100,Morrisania-Melrose
0.18380744,1.641,2.916910947,36005014300,East Concourse-Concourse Village
0.557692308,0.596,0.244862699,36005014400,Schuylerville-Throgs Neck-Edgewater Park
1.444444444,0.179,0.310258646,36005014500,Claremont-Bathgate
0.597069597,1.276,0.211566674,36005014701,Claremont-Bathgate
0.831501832,0.899,0.631611459,36005014702,Claremont-Bathgate
1.002040816,1.477,0.61113656,36005014900,Morrisania-Melrose
0.766211604,0.505,1.225029904,36005015100,Morrisania-Melrose
0.630536131,0.574,0.21864707,36005015200,Schuylerville-Throgs Neck-Edgewater Park
1.432372506,1.391,0.134951977,36005015300,Crotona Park East
1.076086957,1.086,-0.084407648,36005015500,Crotona Park East
0.743055556,0.112,0.402150792,36005015700,Crotona Park East
0.85467128,1.439,0.669115425,36005015800,Schuylerville-Throgs Neck-Edgewater Park
0.248387097,-0.03,-0.127570328,36005015900,Hunts Point
1.139064475,0.539,0.851988847,36005016000,Schuylerville-Throgs Neck-Edgewater Park
0.02247191,0.794,0.112216619,36005016100,Crotona Park East
0.407534247,0.534,0.426030102,36005016200,Schuylerville-Throgs Neck-Edgewater Park
0.673126615,0.379,0.296429268,36005016400,Schuylerville-Throgs Neck-Edgewater Park
0.884751773,1.066,0.967206849,36005016500,Claremont-Bathgate
0.965474723,0.945,0.59494357,36005016600,Schuylerville-Throgs Neck-Edgewater Park
0.613354037,15.65,1.196314404,36005016700,Claremont-Bathgate
0.347039474,1.526,0.561516487,36005016900,Claremont-Bathgate
0.41981982,1.123,-0.03536466,36005017300,East Concourse-Concourse Village
0.978835979,0.86,0.605103546,36005017500,East Concourse-Concourse Village
1.111111111,2.224,0.397193176,36005017701,East Concourse-Concourse Village
1.025089606,1.9,1.309521189,36005017702,East Concourse-Concourse Village
0.88590604,0.982,0.732952495,36005017901,East Concourse-Concourse Village
0.874161074,0.7,0.667468431,36005017902,East Concourse-Concourse Village
0.721077655,-0.291,0.185415703,36005018101,East Concourse-Concourse Village
0.760697306,1.282,0.530383952,36005018102,East Concourse-Concourse Village
0.645112782,0.719,0.045835309,36005018301,East Concourse-Concourse Village
0.771428571,-0.113,-0.08553817,36005018302,East Concourse-Concourse Village
0.776041667,0.675,0.528918399,36005018400,Schuylerville-Throgs Neck-Edgewater Park
0.810546875,1.043,0.276542512,36005018500,Morrisania-Melrose
0.815517241,0.606,-0.129931917,36005018900,Highbridge
0.89569161,1.247,0.607016234,36005019300,Highbridge
0.715617716,0.271,0.01985544,36005019400,Schuylerville-Throgs Neck-Edgewater Park
0.671779141,1.202,0.623928523,36005019500,West Concourse
0.682852807,0.64,0.1992996,36005019700,West Concourse
0.882747069,1.422,0.566342905,36005019900,Highbridge
0.911003236,0.122,0.332650879,36005020000,Van Nest-Morris Park-Westchester Square
0.787828947,0.629,0.385442444,36005020100,Highbridge
0.72755418,0.432,0.14788484,36005020200,Westchester-Unionport
0.748691099,-0.004,0.222481928,36005020400,Westchester-Unionport
0.621301775,0.575,0.330929111,36005020501,University Heights-Morris Heights
0.908548708,1.207,0.104562332,36005020502,University Heights-Morris Heights
1.598958333,-0.036,0.8153131,36005020601,Westchester-Unionport
0.904424779,1.179,1.243137067,36005020900,West Concourse
0.666666667,0.145,0.63370603,36005021001,Parkchester
0.686781609,0.609,0.916129214,36005021002,Parkchester
0.693200663,0.209,0.53849514,36005021100,Highbridge
0.777286136,0.637,0.589434662,36005021200,Parkchester
1.09375,2.448,0.12925216,36005021301,University Heights-Morris Heights
0.744680851,1.12,0.511618393,36005021302,Highbridge
1.157142857,1.505,0.674846626,36005021501,University Heights-Morris Heights
0.803819444,1.744,0.515779872,36005021502,University Heights-Morris Heights
0.773722628,0.189,-0.271662552,36005021601,West Farms-Bronx River
0.737226277,0.565,0.220713168,36005021602,Parkchester
0.879432624,0.055,0.365570811,36005021700,University Heights-Morris Heights
0.756429652,0.306,0.450329732,36005021800,West Farms-Bronx River
0.935108153,0.157,0.1171594,36005021900,Highbridge
1.070945946,0.998,-0.202693125,36005022000,East Tremont
0.765676568,1.564,0.345557953,36005022101,West Concourse
0.905940594,1.6,-0.014218474,36005022102,West Concourse
0.697860963,-0.192,0.280893578,36005022200,Parkchester
0.853046595,0.147,0.187167842,36005022300,West Concourse
0.759890859,0.673,0.365919283,36005022401,Pelham Parkway
0.851296044,0.196,0.415159903,36005022403,Pelham Parkway
0.63574352,0.367,0.413363567,36005022404,Pelham Parkway
0.683109118,0.663,0.429005059,36005022500,East Concourse-Concourse Village
