change of median rent,College00_16,mdfami00_16,Geo_ID,NYC Neighborhood Tabulation Area name,,,GeoID_Name,"Per-Capita Income, with GEOID",GeoID_Name,Per cha of bla pop,,GeoID_Name,"Per-Capita Income, with GEOID",GeoID_Name,Per cha of bla pop
0.694520548,1.119,0.479130999,36005000200,Soundview-Castle Hill-Clason Point-Harding Park,,,36005000100,4082,36005000100,-40.2,,36005000200,26306,36005000200,34.83
1.161741835,0.988,0.978668422,36005000400,Soundview-Castle Hill-Clason Point-Harding Park,,,36005000200,26306,36005000200,34.83,,36005000400,40425,36005000400,122.27
0.693548387,-0.119,0.219140314,36005001600,Soundview-Castle Hill-Clason Point-Harding Park,,,36005000400,40425,36005000400,122.27,,36005001600,31058,36005001600,34.21
1.459869848,4.324,0.648008111,36005001900,Mott Haven-Port Morris,,,36005001600,31058,36005001600,34.21,,,,,
1.293233083,0.766,0.055600691,36005002000,Soundview-Castle Hill-Clason Point-Harding Park,,,36005001901,30965,36005001900,72.57,,,,,
0.820960699,-0.169,0.0330415,36005002300,Mott Haven-Port Morris,,,36005001902,27893,36005002000,-11.98,,36005002300,14726,36005002300,24.87
1.035294118,1.879,0.592325374,36005002500,Mott Haven-Port Morris,,,36005001903,N/A,36005002300,24.87,,36005002500,11924,36005002500,-0.42
0.693181818,-0.010,0.74038388,36005002701,Mott Haven-Port Morris,,,36005001904,N/A,36005002400,N/A,,36005002701,10312,36005002701,-20.41
1.90060241,1.249,0.943447932,36005002702,Mott Haven-Port Morris,,,36005002001,12175,36005002500,-0.42,,36005002702,11594,36005002702,17.85
0.598976109,0.418,0.329301914,36005002800,Soundview-Castle Hill-Clason Point-Harding Park,,,36005002002,31319,36005002701,-20.41,,36005002800,31346,36005002800,-22.9
0.663961039,-0.193,0.876573242,36005003100,Mott Haven-Port Morris,,,36005002300,14726,36005002702,17.85,,36005003100,22223,36005003100,36.9
1.259927798,1.325,0.801050788,36005003300,Mott Haven-Port Morris,,,36005002400,N/A,36005002800,-22.9,,36005003300,12204,36005003300,64.05
1.110311751,0.263,0.581651923,36005003500,Mott Haven-Port Morris,,,36005002500,11924,36005003100,36.9,,36005003500,15766,36005003500,27.64
0.281293952,0.207,-0.371566893,36005003800,Soundview-Castle Hill-Clason Point-Harding Park,,,36005002701,10312,36005003300,64.05,,36005003800,30868,36005003800,48.68
1.742930591,1.753,0.577718856,36005003900,Mott Haven-Port Morris,,,36005002702,11594,36005003500,27.64,,36005003900,16958,36005003900,-31.99
