Geography Name,Percent Units Built in 1939 or Before
GeoID_Name,pysb39b
36005000100,N/A
36005000200,26.03
36005000400,12.41
36005001600,6.58
36005001901,23.85
36005001902,78.03
36005001903,N/A
36005001904,N/A
36005002001,27.68
36005002002,44.97
36005002300,14.39
36005002400,N/A
36005002500,26.09
36005002701,7.06
36005002702,23.9
36005002800,9.59
36005003100,40.3
36005003300,13.98
36005003500,26.57
36005003700,31.01
36005003800,36.41
36005003900,38.06
36005004001,16.64
36005004100,23.63
36005004200,18.13
36005004300,14.11
36005004400,11.24
36005004600,14.67
36005004800,64.24
36005005001,55.65
36005005002,62.25
36005005100,13.54
36005005200,54.01
36005005300,0
36005005400,61.75
36005005600,55.4
36005005902,50.71
36005006000,61.43
36005006100,5.06
36005006200,15.21
36005006301,69.25
36005006302,N/A
36005006400,12.59
36005006500,5.91
36005006700,31.92
36005006800,16.11
36005006900,6.57
36005007000,46.33
36005007100,3.36
36005007200,51.79
36005007300,19.52
36005007400,4.78
36005007500,12.26
36005007600,48.02
36005007700,26.32
36005007800,35.29
36005007900,25.44
36005008300,31.44
36005008400,22.68
36005008500,41.01
36005008600,26.4
36005008700,35.96
36005008900,34.71
36005009000,14.35
36005009200,38.92
36005009301,40.9
36005009302,N/A
36005009600,27.5
36005009800,27.52
36005011000,N/A
36005011502,19.08
36005011701,16.03
36005011702,N/A
36005011800,32.15
36005011900,40.57
36005012101,38.89
36005012102,41.01
36005012300,9.19
36005012500,27.15
36005012701,52.56
36005012901,17.27
36005013000,33.95
36005013100,17.79
36005013200,21.15
36005013300,7.73
36005013500,24.74
36005013800,23.01
36005014100,7.96
36005014300,26.49
36005014400,14.04
36005014500,14.72
36005014701,6.97
36005014702,8.95
36005014900,38.28
36005015100,32.31
36005015200,27.45
36005015300,43.65
36005015500,30.89
36005015700,28.65
36005015800,11.32
36005015900,9.8
36005016000,24.12
36005016100,49.83
36005016200,49.38
36005016300,N/A
36005016400,55.63
36005016500,27.86
36005016600,27.22
36005016700,17.57
36005016900,15.38
36005017100,N/A
36005017300,38.77
36005017500,38.09
36005017701,41.72
36005017702,48.4
36005017901,50.6
36005017902,39.9
36005018101,41.82
36005018102,69.86
36005018301,41.75
36005018302,38.23
36005018400,44.3
36005018501,10.65
36005018502,24.88
36005018900,46.47
36005019300,43.27
36005019400,38.4
36005019500,38.6
36005019700,53.19
36005019900,44.72
36005020000,43.25
36005020100,41.55
36005020200,61.98
36005020400,52.48
36005020501,28.09
36005020502,34.45
36005020601,57.21
36005020900,40.86
36005021001,27.16
36005021002,34.15
36005021100,38.37
36005021200,27.79
36005021301,35.16
36005021302,23.53
36005021501,55.94
36005021502,49.25
36005021601,52.59
36005021602,44.16
36005021700,49.31
36005021800,52.76
36005021900,92.07
36005022000,47.05
36005022101,26.46
36005022102,55.22
36005022200,56.73
36005022300,48.89
36005022401,31.93
36005022403,53.31
36005022404,51.19
36005022500,52.07
36005022701,46.09
36005022702,48.75
36005022703,49.64
36005022800,34.2
36005022901,48.44
36005022902,48.63
36005023000,42.74
36005023100,57.23
36005023200,64.53
36005023301,76.17
36005023302,75.07
36005023501,64.88
36005023502,47.65
36005023600,56.93
36005023702,82.6
36005023703,50.45
36005023704,48.29
36005023800,67.26
36005023900,68.18
36005024000,56.54
36005024100,61.7
36005024300,46.96
36005024400,40.44
36005024501,65.78
36005024502,69.26
36005024600,25.61
36005024700,9.95
36005024800,18.37
36005024900,N/A
36005025000,34.61
36005025100,48.19
36005025200,46.22
36005025300,65.79
36005025400,40.79
36005025500,54.1
36005025600,59.72
36005025700,65.62
36005026100,3.4
36005026300,68.07
36005026400,58.88
36005026500,51.78
36005026601,30.11
36005026602,23.96
36005026701,73.3
36005026702,69.75
36005026900,36.69
36005027300,58.56
36005027401,29.99
36005027402,15.78
36005027600,60.87
36005027700,63.15
36005027900,31
