Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Percent Black or African American Population,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,ppopbk,TimeFrame,GeoVintage,Source,Location
Census Tract,36005000100,NY,36005000100,36005000100,62.3,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005000200,NY,36005000200,36005000200,25.11,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005000400,NY,36005000400,36005000400,30.07,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005001600,NY,36005001600,36005001600,38.38,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005001901,NY,36005001901,36005001901,39.92,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005001902,NY,36005001902,36005001902,39.86,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005001903,NY,36005001903,36005001903,N/A,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005001904,NY,36005001904,36005001904,N/A,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005002001,NY,36005002001,36005002001,42.98,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005002002,NY,36005002002,36005002002,31.26,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005002300,NY,36005002300,36005002300,39.25,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005002400,NY,36005002400,36005002400,N/A,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005002500,NY,36005002500,36005002500,24.92,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005002701,NY,36005002701,36005002701,37.92,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005002702,NY,36005002702,36005002702,37.1,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005002800,NY,36005002800,36005002800,71.02,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005003100,NY,36005003100,36005003100,41.77,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005003300,NY,36005003300,36005003300,36.46,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005003500,NY,36005003500,36005003500,31.4,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005003700,NY,36005003700,36005003700,44.71,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005003800,NY,36005003800,36005003800,36.07,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005003900,NY,36005003900,36005003900,16.49,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005004001,NY,36005004001,36005004001,16.45,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005004100,NY,36005004100,36005004100,36.2,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005004200,NY,36005004200,36005004200,42.92,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005004300,NY,36005004300,36005004300,30.14,2020,2020,Census,"New York (City, 2020)"
