Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,"Employment in Management, Business, Science, and Arts Occupations",Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,cocc_manbussciart,TimeFrame,GeoVintage,Source,Location
Census Tract,36005000100,NY,36005000100,36005000100,0,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005000200,NY,36005000200,36005000200,775,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005000400,NY,36005000400,36005000400,1133,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005001600,NY,36005001600,36005001600,810,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005001901,NY,36005001901,36005001901,511,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005001902,NY,36005001902,36005001902,191,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005001903,NY,36005001903,36005001903,0,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005001904,NY,36005001904,36005001904,0,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005002001,NY,36005002001,36005002001,250,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005002002,NY,36005002002,36005002002,301,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005002300,NY,36005002300,36005002300,126,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005002400,NY,36005002400,36005002400,0,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005002500,NY,36005002500,36005002500,287,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005002701,NY,36005002701,36005002701,39,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005002702,NY,36005002702,36005002702,219,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005002800,NY,36005002800,36005002800,1060,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005003100,NY,36005003100,36005003100,343,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005003300,NY,36005003300,36005003300,169,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005003500,NY,36005003500,36005003500,335,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005003700,NY,36005003700,36005003700,63,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005003800,NY,36005003800,36005003800,114,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005003900,NY,36005003900,36005003900,307,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005004001,NY,36005004001,36005004001,174,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005004100,NY,36005004100,36005004100,342,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005004200,NY,36005004200,36005004200,1138,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005004300,NY,36005004300,36005004300,531,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005004400,NY,36005004400,36005004400,187,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005004600,NY,36005004600,36005004600,134,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005004800,NY,36005004800,36005004800,309,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005005001,NY,36005005001,36005005001,177,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005005002,NY,36005005002,36005005002,296,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005005100,NY,36005005100,36005005100,196,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005005200,NY,36005005200,36005005200,180,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005005300,NY,36005005300,36005005300,160,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005005400,NY,36005005400,36005005400,267,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005005600,NY,36005005600,36005005600,290,2017-2021,2020,Census,"New York (City, 2020)"
