Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,"Employment in Management, Business, Science, and Arts Occupations",Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,cocc_manbussciart,TimeFrame,GeoVintage,Source,Location
Census Tract,36005000100,NY,36005000100,36005000100,0,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005000200,NY,36005000200,36005000200,488,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005000400,NY,36005000400,36005000400,903,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005001600,NY,36005001600,36005001600,571,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005001900,NY,36005001900,36005001900,147,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005002000,NY,36005002000,36005002000,556,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005002300,NY,36005002300,36005002300,110,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005002400,NY,36005002400,36005002400,0,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005002500,NY,36005002500,36005002500,121,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005002701,NY,36005002701,36005002701,142,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005002702,NY,36005002702,36005002702,248,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005002800,NY,36005002800,36005002800,859,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005003100,NY,36005003100,36005003100,125,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005003300,NY,36005003300,36005003300,198,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005003500,NY,36005003500,36005003500,118,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005003700,NY,36005003700,36005003700,3,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005003800,NY,36005003800,36005003800,247,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005003900,NY,36005003900,36005003900,381,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005004001,NY,36005004001,36005004001,102,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005004100,NY,36005004100,36005004100,194,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005004200,NY,36005004200,36005004200,738,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005004300,NY,36005004300,36005004300,285,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005004400,NY,36005004400,36005004400,300,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005004600,NY,36005004600,36005004600,116,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005004800,NY,36005004800,36005004800,156,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005005001,NY,36005005001,36005005001,151,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005005002,NY,36005005002,36005005002,159,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005005100,NY,36005005100,36005005100,190,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005005200,NY,36005005200,36005005200,98,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005005300,NY,36005005300,36005005300,205,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005005400,NY,36005005400,36005005400,362,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005005600,NY,36005005600,36005005600,199,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005005902,NY,36005005902,36005005902,151,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005006000,NY,36005006000,36005006000,37,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005006100,NY,36005006100,36005006100,559,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005006200,NY,36005006200,36005006200,368,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005006300,NY,36005006300,36005006300,498,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005006400,NY,36005006400,36005006400,495,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005006500,NY,36005006500,36005006500,282,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005006700,NY,36005006700,36005006700,109,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005006800,NY,36005006800,36005006800,180,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005006900,NY,36005006900,36005006900,382,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005007000,NY,36005007000,36005007000,389,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005007100,NY,36005007100,36005007100,170,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005007200,NY,36005007200,36005007200,398,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005007300,NY,36005007300,36005007300,202,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005007400,NY,36005007400,36005007400,622,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005007500,NY,36005007500,36005007500,244,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005007600,NY,36005007600,36005007600,301,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005007700,NY,36005007700,36005007700,176,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005007800,NY,36005007800,36005007800,620,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005007900,NY,36005007900,36005007900,231,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005008300,NY,36005008300,36005008300,310,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005008400,NY,36005008400,36005008400,283,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005008500,NY,36005008500,36005008500,305,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005008600,NY,36005008600,36005008600,197,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005008700,NY,36005008700,36005008700,301,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005008900,NY,36005008900,36005008900,130,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005009000,NY,36005009000,36005009000,322,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005009200,NY,36005009200,36005009200,416,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005009300,NY,36005009300,36005009300,327,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005009600,NY,36005009600,36005009600,156,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005009800,NY,36005009800,36005009800,599,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005011000,NY,36005011000,36005011000,0,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005011502,NY,36005011502,36005011502,205,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005011700,NY,36005011700,36005011700,33,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005011800,NY,36005011800,36005011800,868,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005011900,NY,36005011900,36005011900,354,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005012101,NY,36005012101,36005012101,203,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005012102,NY,36005012102,36005012102,22,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005012300,NY,36005012300,36005012300,160,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005012500,NY,36005012500,36005012500,370,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005012701,NY,36005012701,36005012701,65,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005012901,NY,36005012901,36005012901,162,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005013000,NY,36005013000,36005013000,150,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005013100,NY,36005013100,36005013100,461,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005013200,NY,36005013200,36005013200,1154,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005013300,NY,36005013300,36005013300,349,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005013500,NY,36005013500,36005013500,246,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005013800,NY,36005013800,36005013800,458,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005014100,NY,36005014100,36005014100,211,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005014300,NY,36005014300,36005014300,24,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005014400,NY,36005014400,36005014400,500,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005014500,NY,36005014500,36005014500,289,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005014701,NY,36005014701,36005014701,211,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005014702,NY,36005014702,36005014702,62,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005014900,NY,36005014900,36005014900,256,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005015100,NY,36005015100,36005015100,326,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005015200,NY,36005015200,36005015200,345,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005015300,NY,36005015300,36005015300,291,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005015500,NY,36005015500,36005015500,197,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005015700,NY,36005015700,36005015700,153,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005015800,NY,36005015800,36005015800,158,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005015900,NY,36005015900,36005015900,85,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005016000,NY,36005016000,36005016000,908,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005016100,NY,36005016100,36005016100,330,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005016200,NY,36005016200,36005016200,206,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005016300,NY,36005016300,36005016300,9,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005016400,NY,36005016400,36005016400,174,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005016500,NY,36005016500,36005016500,66,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005016600,NY,36005016600,36005016600,391,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005016700,NY,36005016700,36005016700,169,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005016900,NY,36005016900,36005016900,131,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005017100,NY,36005017100,36005017100,0,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005017300,NY,36005017300,36005017300,389,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005017500,NY,36005017500,36005017500,314,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005017701,NY,36005017701,36005017701,149,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005017702,NY,36005017702,36005017702,265,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005017901,NY,36005017901,36005017901,190,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005017902,NY,36005017902,36005017902,273,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005018101,NY,36005018101,36005018101,265,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005018102,NY,36005018102,36005018102,476,2007-2011,2010,Census,"New York (City, 2020)"
