Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Per Capita Income,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,apci,TimeFrame,GeoVintage,Source,Location
Census Tract,36005000100,NY,36005000100,36005000100,10721,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005000200,NY,36005000200,36005000200,15306,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005000400,NY,36005000400,36005000400,14833,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005000500,NY,36005000500,36005000500,N/A,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005001100,NY,36005001100,36005001100,11344,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005001500,NY,36005001500,36005001500,12136,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005001600,NY,36005001600,36005001600,11299,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005001700,NY,36005001700,36005001700,6271,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005002000,NY,36005002000,36005002000,8573,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005002300,NY,36005002300,36005002300,9325,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005002400,NY,36005002400,36005002400,N/A,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005002500,NY,36005002500,36005002500,7595,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005002701,NY,36005002701,36005002701,14283,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005002702,NY,36005002702,36005002702,5774,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005002800,NY,36005002800,36005002800,17071,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005003100,NY,36005003100,36005003100,9906,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005003300,NY,36005003300,36005003300,6362,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005003500,NY,36005003500,36005003500,8820,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005003600,NY,36005003600,36005003600,13388,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005003700,NY,36005003700,36005003700,8095,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005003800,NY,36005003800,36005003800,14186,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005003900,NY,36005003900,36005003900,10583,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005004001,NY,36005004001,36005004001,15674,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005004002,NY,36005004002,36005004002,N/A,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005004100,NY,36005004100,36005004100,8911,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005004300,NY,36005004300,36005004300,8891,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005004400,NY,36005004400,36005004400,9808,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005004600,NY,36005004600,36005004600,10322,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005004700,NY,36005004700,36005004700,6807,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005004800,NY,36005004800,36005004800,9066,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005004900,NY,36005004900,36005004900,10823,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005000,NY,36005005000,36005005000,9511,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005200,NY,36005005200,36005005200,11128,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005301,NY,36005005301,36005005301,N/A,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005302,NY,36005005302,36005005302,8472,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005400,NY,36005005400,36005005400,8879,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005600,NY,36005005600,36005005600,9656,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005700,NY,36005005700,36005005700,15407,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005800,NY,36005005800,36005005800,N/A,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005901,NY,36005005901,36005005901,10456,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005902,NY,36005005902,36005005902,17373,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005006000,NY,36005006000,36005006000,9576,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005006100,NY,36005006100,36005006100,19306,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005006200,NY,36005006200,36005006200,12304,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005006400,NY,36005006400,36005006400,12566,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005006500,NY,36005006500,36005006500,9378,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005006600,NY,36005006600,36005006600,10912,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005006700,NY,36005006700,36005006700,9881,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005006800,NY,36005006800,36005006800,14700,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005006900,NY,36005006900,36005006900,6883,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005007000,NY,36005007000,36005007000,12541,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005007100,NY,36005007100,36005007100,11261,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005007200,NY,36005007200,36005007200,13104,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005007300,NY,36005007300,36005007300,10479,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005007400,NY,36005007400,36005007400,18429,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005007500,NY,36005007500,36005007500,11009,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005007700,NY,36005007700,36005007700,7548,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005007800,NY,36005007800,36005007800,17047,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005007900,NY,36005007900,36005007900,7812,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005008100,NY,36005008100,36005008100,N/A,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005008300,NY,36005008300,36005008300,9721,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005008400,NY,36005008400,36005008400,13423,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005008500,NY,36005008500,36005008500,9380,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005008600,NY,36005008600,36005008600,7930,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005008700,NY,36005008700,36005008700,8815,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005008800,NY,36005008800,36005008800,9843,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005008900,NY,36005008900,36005008900,7860,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005009100,NY,36005009100,36005009100,3424,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005009200,NY,36005009200,36005009200,15178,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005009400,NY,36005009400,36005009400,15935,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005009700,NY,36005009700,36005009700,5889,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005009800,NY,36005009800,36005009800,16854,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005009900,NY,36005009900,36005009900,7350,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005010200,NY,36005010200,36005010200,12524,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005010500,NY,36005010500,36005010500,5547,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005011000,NY,36005011000,36005011000,22715,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005011501,NY,36005011501,36005011501,7656,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005011502,NY,36005011502,36005011502,6674,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005011800,NY,36005011800,36005011800,22715,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005011900,NY,36005011900,36005011900,10322,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005012101,NY,36005012101,36005012101,8675,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005012102,NY,36005012102,36005012102,9198,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005012300,NY,36005012300,36005012300,8467,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005012500,NY,36005012500,36005012500,14223,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005012701,NY,36005012701,36005012701,11243,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005012702,NY,36005012702,36005012702,13104,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005012901,NY,36005012901,36005012901,7345,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005012902,NY,36005012902,36005012902,6086,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005013000,NY,36005013000,36005013000,21665,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005013100,NY,36005013100,36005013100,9938,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005013200,NY,36005013200,36005013200,23627,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005013300,NY,36005013300,36005013300,10177,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005013500,NY,36005013500,36005013500,9696,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005013700,NY,36005013700,36005013700,9527,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005013800,NY,36005013800,36005013800,20853,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005013900,NY,36005013900,36005013900,9345,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005014100,NY,36005014100,36005014100,6824,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005014300,NY,36005014300,36005014300,5382,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005014400,NY,36005014400,36005014400,15264,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005014500,NY,36005014500,36005014500,10438,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005014700,NY,36005014700,36005014700,6477,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005014900,NY,36005014900,36005014900,8903,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005015100,NY,36005015100,36005015100,10148,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005015300,NY,36005015300,36005015300,11651,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005015400,NY,36005015400,36005015400,22749,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005015500,NY,36005015500,36005015500,10230,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005015600,NY,36005015600,36005015600,21333,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005015700,NY,36005015700,36005015700,9030,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005015800,NY,36005015800,36005015800,17365,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005016000,NY,36005016000,36005016000,22840,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005016100,NY,36005016100,36005016100,11280,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005016200,NY,36005016200,36005016200,20797,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005016300,NY,36005016300,36005016300,351,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005016400,NY,36005016400,36005016400,18945,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005016500,NY,36005016500,36005016500,12043,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005016600,NY,36005016600,36005016600,22371,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005016700,NY,36005016700,36005016700,7189,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005016900,NY,36005016900,36005016900,8151,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005017100,NY,36005017100,36005017100,N/A,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005017300,NY,36005017300,36005017300,10500,2000,2000,Census,"New York (City, 2020)"
